radius,angle,strength,density,velocity,entry latitude,entry longitude,bearing
33.24041283734698,46.095606028537205,7419348.584778289,3575.57139484706,19154.137019183345,52.978310781300024,-2.493826378625954,115.07345423540144
34.67294102899913,45.41392303208137,11958503.305513645,3048.8982393432157,17851.33337391277,53.02556680909947,-2.473965965301659,115.51964982991919
34.75281238655404,43.55852481950767,7081975.087858574,2632.8518550165027,20161.256802558655,53.02525986505316,-2.5206830630588684,115.04938902078422
35.11616748113232,45.19179775270031,15848666.793053452,2393.332832365581,20212.447871961613,53.01981222769791,-2.5148015763022613,115.04636814330198
34.29537827355787,44.783682964428394,12836319.601047883,3123.663613890502,18723.99044517669,53.00742032647577,-2.481804848765705,115.20158545921745
35.68862795164367,44.646467710262115,5161716.506562772,2896.9279888918268,20640.59256701207,52.961152239427975,-2.5219150746931973,115.08929174047651
35.207498841934154,45.409135817737294,8950308.80343792,3048.1741059550686,18215.036532002243,53.0722891018504,-2.4307902165480755,115.2867725619474
34.743603543709014,45.37746979028479,9175200.258661792,3623.1441307484274,19168.398576366177,52.98838362078641,-2.4720615439139237,115.645725712141
36.06469399511265,44.53311895150436,15673698.820188433,2709.899783586096,19110.019350213293,52.96778754095976,-2.4987691940475543,115.06314384823085
34.78731788176002,44.98545715153374,6508269.498809777,2509.297781067962,20557.647541838534,52.99016446747373,-2.4572900007353837,115.09409849045184
